NumberOfRacks,RackType,LocationDescription,Address,Status,Id
1,,Karns Middle School,2925 Gray Hendrix Rd,Installed,198
3,Hoop,Alliance Brewing Company,1130 Sevier Ave,Installed,199
1,Ulockit,Renegade Yoga,516 Renford Rd ,Installed,200
1,Hitch,,133 S Gay St,Installed,201
1,Hoop,EdFinancial,"120 N Seven Oaks Dr, Knoxville, TN 37922",Installed,202
10,Hoop,Maryville College,"502 E Lamar Alexander Pkwy, Maryville, TN 37804",Installed,203
4,Ulockit,UT Institute of Public Service,1610 University Ave 37921,Installed,204
2,Hitch,YMCA,605 W Clinch Ave,Installed,205
1,Hoop,A Dopo Pizza,516 williams st,Installed,206
1,Hitch,outside of Central Depot Bar,"103 W Depot Ave, Knoxville, TN 37917",Installed,207
1,Hitch,,125 W Jackson Ave,Installed,208
1,Hitch,,129 W Jackson Ave,Installed,209
1,Hitch,near rowboat guy,625 S Gay St,Installed,210
5,Hoop,Abridged Beer Co,100 Lockett Rd 37919,Installed,211
3,Hoop,Elkmont Exchange,745 N Broadway 37917,Installed,212
2,Hoop,Vestal Boys and Girls Club,522 Maryville Pike 37920,Installed,213
2,Hoop,Kybra Athletics,804 N Broadway St 37917,Installed,214
3,Bike corral,on Church in front of Yassin's,706 Walnut St,Installed,215
1,Hitch,,"613 N Gay StKnoxville, TN 37917",Installed,216
1,Hitch,,617 N Gay St Knoxville TN 37917,Installed,217
3,Hoop,by the entrance to Trailhead,"1317 Island Home Ave, Knoxville, TN 37920",Installed,218
1,Hoop,around the basketball court,Around Quincy Ave and Purdue Ave in Oak Ridge,Planned,219
1,Hoop,near the creek,Park surrounded by Quincy Ave and Purdue Ave,Planned,220
1,Hitch,,428 E Scott Ave,Installed,221
1,Hoop,Dream Bikes,309 N Central St,Installed,222
2,Hitch,Sharps Ridge - Picnic Area,Sharps Ridge Memorial Drive,Installed,223
